                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.45489,                0.39947,                0.90843,                0.95394,                0.51856,                0.59233,                0.48767,                0.77749,                0.91866,                 1.1975,             0.00089141,             0.00089141,             0.00089141
                     79,                0.42532,                0.36711,                0.89907,                0.93699,                0.44952,                0.53959,                0.45347,                0.75928,                 1.1036,                 1.2628,             0.00088434,             0.00088434,             0.00088434
                     80,                0.46955,                0.37207,                0.90733,                0.57637,                0.58631,                0.51347,                0.43444,                0.74079,                 1.1224,                 1.2063,             0.00087726,             0.00087726,             0.00087726
                     81,                0.46038,                0.39429,                0.91048,                0.74092,                0.59153,                0.56192,                0.47812,                0.65927,                 1.0116,                   1.14,             0.00087019,             0.00087019,             0.00087019
                     82,                0.43763,                0.38642,                0.90465,                0.63951,                0.58444,                0.55708,                0.46047,                0.75936,                0.95822,                 1.2718,             0.00086312,             0.00086312,             0.00086312
                     83,                0.44395,                 0.3751,                0.91131,                0.57959,                0.61296,                0.55045,                0.46233,                0.73115,                 1.0008,                 1.2004,             0.00085604,             0.00085604,             0.00085604
                     84,                0.46333,                0.41904,                0.91067,                0.59966,                0.57111,                0.55993,                0.46753,                0.76119,                0.83684,                 1.2524,             0.00084897,             0.00084897,             0.00084897
                     85,                0.45329,                0.39684,                0.90729,                 0.5711,                0.58444,                0.52859,                0.44844,                0.68215,                0.96448,                 1.1636,              0.0008419,              0.0008419,              0.0008419
                     86,                0.43636,                0.37059,                0.90257,                0.93368,                0.47333,                0.48781,                0.41579,                0.67264,                 1.0985,                 1.1138,             0.00083482,             0.00083482,             0.00083482
                     87,                0.42811,                0.36752,                0.90929,                0.93785,                0.47179,                0.48183,                0.41566,                0.69808,                 1.0586,                 1.1376,             0.00082775,             0.00082775,             0.00082775
                     88,                0.42276,                0.35598,                0.89863,                0.94045,                0.47333,                0.52489,                0.45592,                0.70874,                 1.0143,                 1.1179,             0.00082067,             0.00082067,             0.00082067
                     89,                0.43362,                0.38111,                0.90958,                0.55054,                 0.5733,                0.54488,                 0.4642,                0.70293,                0.98758,                 1.1376,              0.0008136,              0.0008136,              0.0008136
                     90,                0.43458,                0.34233,                0.90462,                0.56506,                0.58444,                0.54644,                0.45373,                0.69314,                0.92493,                 1.1614,             0.00080653,             0.00080653,             0.00080653
                     91,                 0.4224,                0.35062,                0.89719,                0.63714,                0.57434,                0.50441,                0.41649,                0.73262,                 1.0978,                  1.175,             0.00079945,             0.00079945,             0.00079945
                     92,                 0.4249,                0.36713,                0.89617,                0.88435,                0.47333,                 0.4817,                0.37931,                0.78389,                 1.2885,                 1.1656,             0.00079238,             0.00079238,             0.00079238
                     93,                0.43697,                0.36704,                0.90248,                0.57129,                0.48391,                0.50384,                0.42207,                0.72524,                 1.2083,                 1.1621,             0.00078531,             0.00078531,             0.00078531
                     94,                0.40999,                0.33843,                 0.9011,                 0.5979,                0.47175,                0.53927,                0.47414,                0.66752,                 1.1125,                 1.1405,             0.00077823,             0.00077823,             0.00077823
                     95,                0.40033,                0.33878,                0.89015,                0.60022,                0.47305,                0.59071,                0.50013,                 0.6878,                 1.0398,                 1.1504,             0.00077116,             0.00077116,             0.00077116
                     96,                0.42609,                0.38447,                0.90116,                0.60224,                0.59086,                0.60414,                0.51721,                0.68934,                0.93915,                 1.1723,             0.00076409,             0.00076409,             0.00076409
                     97,                0.40088,                0.34384,                0.89853,                0.59448,                0.57749,                0.57107,                0.49247,                0.68191,                0.91441,                 1.1491,             0.00075701,             0.00075701,             0.00075701
                     98,                0.39812,                0.34106,                0.88792,                 0.5727,                0.58444,                0.55463,                0.48802,                0.68592,                 0.9746,                 1.1457,             0.00074994,             0.00074994,             0.00074994
                     99,                 0.4105,                 0.3424,                0.88449,                 0.6146,                0.60413,                0.57919,                0.49457,                0.71805,                0.99686,                  1.179,             0.00074287,             0.00074287,             0.00074287
                    100,                0.39836,                0.33845,                0.89536,                0.61913,                0.48374,                0.58664,                0.50634,                0.66869,                0.96562,                 1.1685,             0.00073579,             0.00073579,             0.00073579
                    101,                0.40757,                0.34057,                0.88831,                0.94653,                0.47567,                0.57629,                0.49862,                0.66944,                 1.0395,                 1.1917,             0.00072872,             0.00072872,             0.00072872
                    102,                0.39052,                0.34178,                0.89368,                0.93564,                0.46571,                0.54027,                0.47851,                0.64243,                 1.0792,                  1.181,             0.00072164,             0.00072164,             0.00072164
                    103,                0.42586,                0.35141,                0.89412,                0.92031,                0.47333,                0.57727,                0.49357,                0.68137,                 1.0803,                 1.2404,             0.00071457,             0.00071457,             0.00071457
